country,AEZ,FCT_id,food_grp_id,food_item_id,Food_grp,Food_name,suitable_class,Hrv_strt,Hrv_end
RWA,1,11440,11,440,Beverages,"Coffee, instant, powder",4,10,12
RWA,1,11449,11,449,Beverages,"Nectar, Mango, canned",2,1,3
RWA,1,11453,11,453,Beverages,"Ovaltine powder, fortified",2,8,10
RWA,1,11442,11,442,Beverages,"Sap, palm, fresh (0.3 % alcohol)",3,1,3
RWA,1,1045,1,45,Cereals and their products,"Bread/rolls, white",2,1,3
RWA,1,1052,1,52,Cereals and their products,"Macaroni, dried",4,2,4
RWA,1,1063,1,63,Cereals and their products,"Pearl millet, flour (without bran)",2,5,7
RWA,1,9386,9,386,Fish and their products,"Mudfish, raw",3,3,5
RWA,1,5227,5,227,Fruits and their products,"Dattock, pulp, raw",3,2,4
RWA,1,5253,5,253,Fruits and their products,"Fruit cocktail, canned in syrup",2,7,9
RWA,1,5255,5,255,Fruits and their products,"Mango, deep orange flesh",2,5,7
RWA,1,5258,5,258,Fruits and their products,"Melon, cantaloup, raw",3,3,5
RWA,1,5263,5,263,Fruits and their products,"Shea fruit pulp, raw",2,4,6
RWA,1,5239,5,239,Fruits and their products,"Tamarind, immature fruit, raw",1,4,6
RWA,1,5241,5,241,Fruits and their products,"Watermelon, fruit, raw",4,9,11
RWA,1,3111,3,111,Legumes and their products,"Bambara groundnut, dried, raw ",2,5,7
RWA,1,3134,3,134,Legumes and their products,"Broad beans, dried, raw",3,10,12
RWA,1,3142,3,142,Legumes and their products,"Pigeon pea, dried, raw",3,2,4
RWA,1,3118,3,118,Legumes and their products,"Soya bean, dried, raw",4,2,4
RWA,1,7311,7,311,Meat and poultry and their products,"Beef, tripe, raw",2,11,1
RWA,1,7296,7,296,Meat and poultry and their products,"Pork, meat, approx. 20 % fat, boneless, raw",4,5,7
RWA,1,10410,10,410,Milk and their products,Cheddar,2,10,12
RWA,1,10414,10,414,Milk and their products,"Cream, 13 % fat",1,2,4
RWA,1,10428,10,428,Milk and their products,Groundnut oil,1,8,10
RWA,1,10415,10,415,Milk and their products,"Infant formula, powder, for 3 months",1,6,8
RWA,1,10416,10,416,Milk and their products,"Infant formula, powder, for 6 months",3,11,1
RWA,1,10406,10,406,Milk and their products,"Milk, cow, powder, whole",3,0,2
RWA,1,10407,10,407,Milk and their products,"Milk, goat, raw",2,8,10
RWA,1,10425,10,425,Milk and their products,"Yoghurt, whole milk, with fruits",2,3,5
RWA,1,12455,12,455,Miscellaneous,Honey,3,9,11
RWA,1,12466,12,466,Miscellaneous,"Mustard, powder",4,10,12
RWA,1,12467,12,467,Miscellaneous,"Mustard, prepared, yellow",3,5,7
RWA,1,12456,12,456,Miscellaneous,Sugar,1,8,10
RWA,1,6269,6,269,"Nuts, seeds and their products",Coconut milk ,4,1,3
RWA,1,6268,6,268,"Nuts, seeds and their products","Coconut, kernel, dried, raw",4,1,3
RWA,1,6266,6,266,"Nuts, seeds and their products","Coconut, mature kernel, fresh, raw",3,2,4
RWA,1,6287,6,287,"Nuts, seeds and their products","Groundnut flour, with fat",4,1,3
RWA,1,6274,6,274,"Nuts, seeds and their products","Groundnut, red, shelled, dried, raw (Benin)",4,4,6
RWA,1,6277,6,277,"Nuts, seeds and their products","Shea nut, seed kernel, dried, raw",4,6,8
RWA,1,2095,2,95,"Starchy roots, tubers and their products","Cassava sweet, tuber, dried",2,3,5
RWA,1,2083,2,83,"Starchy roots, tubers and their products","Potato, raw",4,9,11
RWA,1,2093,2,93,"Starchy roots, tubers and their products","Yam tuber, raw",3,10,12
RWA,1,4151,4,151,Vegetables and their products,"Baobab, leaves,  raw",1,7,9
RWA,1,4155,4,155,Vegetables and their products,"Cabbage, raw",3,4,6
RWA,1,4163,4,163,Vegetables and their products,"Eggplant leaves, raw",4,8,10
RWA,1,4164,4,164,Vegetables and their products,"False sesame, leaves, dried",3,3,5
RWA,1,4154,4,154,Vegetables and their products,"Okra leaves, raw",4,7,9
RWA,1,4197,4,197,Vegetables and their products,"Pepper, sweet, red, raw",4,8,10
RWA,1,4205,4,205,Vegetables and their products,"Pumpkin leaves, dried",2,8,10
RWA,1,4201,4,201,Vegetables and their products,"Pumpkin, squash, raw",4,9,11
RWA,1,4169,4,169,Vegetables and their products,"Tamarind, leaves, raw",1,4,6
RWA,1,4170,4,170,Vegetables and their products,"Taro, leaves, raw",3,7,9
RWA,1,4171,4,171,Vegetables and their products,"Tomato, red, ripe, raw",4,7,9
ETH,2,11436,11,436,Beverages,Beer european (4.4 % alcohol),3,7,9
ETH,2,11437,11,437,Beverages,"Beer, maize  (est. 3 % alcohol)",1,6,8
ETH,2,11452,11,452,Beverages,Ovaltine beverage with skimmed milk (without sugar; fortified),2,1,3
ETH,2,1046,1,46,Cereals and their products,"Bread, wheat, white",3,8,10
ETH,2,1045,1,45,Cereals and their products,"Bread/rolls, white",1,1,3
ETH,2,1001,1,1,Cereals and their products,"Fonio, white, whole grain, raw",1,10,12
ETH,2,1014,1,14,Cereals and their products,"Maize, combined varieties, whole kernel, dried, raw",2,9,11
ETH,2,1060,1,60,Cereals and their products,"Maize, white, grit, degermed",3,1,3
ETH,2,1076,1,76,Cereals and their products,"Maize, white, stiff porridge* (without salt)",2,5,7
ETH,2,1075,1,75,Cereals and their products,"Maize, yellow, stiff porridge* (without salt)",1,4,6
ETH,2,1032,1,32,Cereals and their products,"Pearl millet, combined varieties, whole grain, raw",1,12,2
ETH,2,1063,1,63,Cereals and their products,"Pearl millet, flour (without bran)",2,7,9
ETH,2,1036,1,36,Cereals and their products,"Rice, white, polished, raw",1,6,8
ETH,2,1074,1,74,Cereals and their products,"Wheat, whole grains, raw",1,5,7
ETH,2,9364,9,364,Fish and their products,"African carp, raw",3,2,4
ETH,2,9369,9,369,Fish and their products,"Anchovy, canned in oil (drained solids)",3,4,6
ETH,2,9386,9,386,Fish and their products,"Mudfish, raw",4,12,2
ETH,2,9363,9,363,Fish and their products,"White grouper, raw",1,2,4
ETH,2,5243,5,243,Fruits and their products,"African locust bean, flour from fruit, pulp",2,12,2
ETH,2,5226,5,226,Fruits and their products,"Cashew apple, pulp, raw",3,0,2
ETH,2,5248,5,248,Fruits and their products,"Clementine, raw",2,9,11
ETH,2,5251,5,251,Fruits and their products,"Fig, raw ",1,5,7
ETH,2,5259,5,259,Fruits and their products,"Palm nuts, pulp, raw",4,4,6
ETH,2,5236,5,236,Fruits and their products,"Papaya, fruit, ripe, raw",2,3,5
ETH,2,5261,5,261,Fruits and their products,"Plantain, ripe, raw",2,6,8
ETH,2,5238,5,238,Fruits and their products,"Soapberry, fruit, raw",4,11,1
ETH,2,3132,3,132,Legumes and their products,"Beans, white, dried",1,5,7
ETH,2,3115,3,115,Legumes and their products,"Cowpea, black, dried, raw",4,5,7
ETH,2,3114,3,114,Legumes and their products,"Cowpea, dried, raw",4,2,4
ETH,2,3142,3,142,Legumes and their products,"Pigeon pea, dried, raw",4,1,3
ETH,2,7309,7,309,Meat and poultry and their products,"Beef, kidney, raw",4,8,10
ETH,2,7293,7,293,Meat and poultry and their products,"Chicken, dark meat, flesh, raw",1,10,12
ETH,2,10431,10,431,Milk and their products,"Margarine, fortified",2,11,1
ETH,2,10421,10,421,Milk and their products,"Milk, cow powder, skimmed",4,10,12
ETH,2,10424,10,424,Milk and their products,Vacherin cheese,2,8,10
ETH,2,10435,10,435,Milk and their products,Vegetable oil,2,6,8
ETH,2,12458,12,458,Miscellaneous,Anis seed,3,9,11
ETH,2,12460,12,460,Miscellaneous,"Chilli pepper, dried",2,0,2
ETH,2,12461,12,461,Miscellaneous,"Cinnamon, ground",4,5,7
ETH,2,12469,12,469,Miscellaneous,Salt,4,7,9
ETH,2,12471,12,471,Miscellaneous,"Yeast, dried",4,8,10
ETH,2,6285,6,285,"Nuts, seeds and their products","Groundnut, combined varieties, shelled, dried, raw (Ghana)",1,8,10
ETH,2,6274,6,274,"Nuts, seeds and their products","Groundnut, red, shelled, dried, raw (Benin)",1,1,3
ETH,2,6273,6,273,"Nuts, seeds and their products","Groundnut, rose, shelled, dried, raw (Benin)",2,1,3
ETH,2,6276,6,276,"Nuts, seeds and their products","Sesame seeds, whole, dried, raw",3,4,6
ETH,2,6277,6,277,"Nuts, seeds and their products","Shea nut, seed kernel, dried, raw",4,8,10
ETH,2,2095,2,95,"Starchy roots, tubers and their products","Cassava sweet, tuber, dried",2,10,12
ETH,2,2077,2,77,"Starchy roots, tubers and their products","Cassava, tuber, raw",4,4,6
ETH,2,2081,2,81,"Starchy roots, tubers and their products","Cocoyam, tuber, raw ",3,8,10
ETH,2,2110,2,110,"Starchy roots, tubers and their products","Yam tuber, flour",2,10,12
ETH,2,4173,4,173,Vegetables and their products,"Amaranth leaves, raw",1,8,10
ETH,2,4155,4,155,Vegetables and their products,"Cabbage, raw",4,7,9
ETH,2,4158,4,158,Vegetables and their products,"Cassava, leaves, raw",2,5,7
ETH,2,4186,4,186,Vegetables and their products,"False sesame, leaves, raw",1,3,5
ETH,2,4165,4,165,Vegetables and their products,"Garlic, raw",1,2,4
ETH,2,4195,4,195,Vegetables and their products,"Parsley, fresh",3,6,8
ETH,2,4196,4,196,Vegetables and their products,"Peppers, chilli, raw",3,2,4
ETH,2,4212,4,212,Vegetables and their products,"Tamarind, leaves, dried",3,6,8
ETH,2,4215,4,215,Vegetables and their products,"Tomatoes, canned, packed in juice",1,1,3
RWA,2,11437,11,437,Beverages,"Beer, maize  (est. 3 % alcohol)",2,1,3
RWA,2,11450,11,450,Beverages,Ovaltine beverage with whole milk (without sugar; fortified),1,1,3
RWA,2,1014,1,14,Cereals and their products,"Maize, combined varieties, whole kernel, dried, raw",3,6,8
RWA,2,1054,1,54,Cereals and their products,"Maize, yellow, flour of whole-grain",3,11,1
RWA,2,1055,1,55,Cereals and their products,"Maize, yellow, grit, degermed",1,3,5
RWA,2,1015,1,15,Cereals and their products,"Millet, whole grain, raw",4,1,3
RWA,2,1065,1,65,Cereals and their products,"Rice, red native, hulled, raw",3,2,4
RWA,2,9369,9,369,Fish and their products,"Anchovy, canned in oil (drained solids)",3,11,1
RWA,2,9358,9,358,Fish and their products,"Anchovy, fillet, raw",3,12,2
RWA,2,5221,5,221,Fruits and their products,"African locust bean, fruit, pulp, raw",2,6,8
RWA,2,5246,5,246,Fruits and their products,"Apple, without skin, raw",4,7,9
RWA,2,5247,5,247,Fruits and their products,"Banana, yellow flesh, raw",4,2,4
RWA,2,5225,5,225,Fruits and their products,"Breadfruit, raw",1,4,6
RWA,2,5232,5,232,Fruits and their products,"Landolphia, pulp, raw",1,5,7
RWA,2,5257,5,257,Fruits and their products,"Melon, honeydew, raw",2,6,8
RWA,2,5236,5,236,Fruits and their products,"Papaya, fruit, ripe, raw",1,11,1
RWA,2,5264,5,264,Fruits and their products,"Sweet apple, fruit, raw",3,2,4
RWA,2,3137,3,137,Legumes and their products,"Cowpea, brown, dried, raw",4,10,12
RWA,2,3118,3,118,Legumes and their products,"Soya bean, dried, raw",3,10,12
RWA,2,7292,7,292,Meat and poultry and their products,"Beef, meat, 15-20  % fat, boneless, raw",2,2,4
RWA,2,7304,7,304,Meat and poultry and their products,"Beef, meat, approx. 30 % fat, boneless, raw",4,4,6
RWA,2,7315,7,315,Meat and poultry and their products,"Beef, meat, cured, corned, canned",1,5,7
RWA,2,7326,7,326,Meat and poultry and their products,"Chicken, light meat, flesh and skin, raw",4,8,10
RWA,2,7323,7,323,Meat and poultry and their products,"Chicken, light meat, flesh, raw",2,6,8
RWA,2,7334,7,334,Meat and poultry and their products,"Crocodile, raw",4,8,10
RWA,2,7296,7,296,Meat and poultry and their products,"Pork, meat, approx. 20 % fat, boneless, raw",1,7,9
RWA,2,7297,7,297,Meat and poultry and their products,"Rabbit, flesh only, raw",4,0,2
RWA,2,7353,7,353,Meat and poultry and their products,"Sausage, wiener (beef, pork, chicken) canned",2,5,7
RWA,2,10415,10,415,Milk and their products,"Infant formula, powder, for 3 months",3,1,3
RWA,2,10422,10,422,Milk and their products,"Milk, camel, raw (average of different breeds)",2,12,2
RWA,2,10407,10,407,Milk and their products,"Milk, goat, raw",4,3,5
RWA,2,12458,12,458,Miscellaneous,Anis seed,3,10,12
RWA,2,12464,12,464,Miscellaneous,"Ginger, root, raw",2,8,10
RWA,2,12467,12,467,Miscellaneous,"Mustard, prepared, yellow",2,6,8
RWA,2,12469,12,469,Miscellaneous,Salt,4,1,3
RWA,2,12457,12,457,Miscellaneous,Vinegar,3,7,9
RWA,2,6265,6,265,"Nuts, seeds and their products","Cashew nut, raw",4,5,7
RWA,2,6268,6,268,"Nuts, seeds and their products","Coconut, kernel, dried, raw",2,6,8
RWA,2,6278,6,278,"Nuts, seeds and their products","Colanut, raw",3,4,6
RWA,2,6274,6,274,"Nuts, seeds and their products","Groundnut, red, shelled, dried, raw (Benin)",2,2,4
RWA,2,6290,6,290,"Nuts, seeds and their products","Roselle, red, seed, dried ",2,9,11
RWA,2,2077,2,77,"Starchy roots, tubers and their products","Cassava, tuber, raw",4,9,11
RWA,2,2083,2,83,"Starchy roots, tubers and their products","Potato, raw",1,6,8
RWA,2,2096,2,96,"Starchy roots, tubers and their products","Sweet potato, pale yellow, raw",3,1,3
RWA,2,2089,2,89,"Starchy roots, tubers and their products","Taro, tuber, raw",4,8,10
RWA,2,2093,2,93,"Starchy roots, tubers and their products","Yam tuber, raw",4,8,10
RWA,2,4155,4,155,Vegetables and their products,"Cabbage, raw",3,1,3
RWA,2,4156,4,156,Vegetables and their products,"Carrot, raw",1,1,3
RWA,2,4158,4,158,Vegetables and their products,"Cassava, leaves, raw",4,8,10
RWA,2,4160,4,160,Vegetables and their products,"Cowpea, leaves, raw",4,3,5
RWA,2,4182,4,182,Vegetables and their products,"Cucumber, raw",2,3,5
RWA,2,4161,4,161,Vegetables and their products,"Drumstick  leaves, raw",3,7,9
RWA,2,4164,4,164,Vegetables and their products,"False sesame, leaves, dried",3,8,10
RWA,2,4186,4,186,Vegetables and their products,"False sesame, leaves, raw",2,2,4
RWA,2,4190,4,190,Vegetables and their products,"Lettuce, raw",2,7,9
RWA,2,4168,4,168,Vegetables and their products,"Onion, raw",2,9,11
RWA,2,4205,4,205,Vegetables and their products,"Pumpkin leaves, dried",3,1,3
RWA,2,4169,4,169,Vegetables and their products,"Tamarind, leaves, raw",3,11,1
RWA,2,4216,4,216,Vegetables and their products,"Tomato paste, concentrated",3,4,6
RWA,2,4218,4,218,Vegetables and their products,"Turnip, raw ",2,10,12
ETH,3,11440,11,440,Beverages,"Coffee, instant, powder",4,4,6
ETH,3,1048,1,48,Cereals and their products,"Bread, wheat, wholemeal",2,5,7
ETH,3,1059,1,59,Cereals and their products,"Maize, white, flour degermed ",1,11,1
ETH,3,1058,1,58,Cereals and their products,"Maize, white, flour refined",2,4,6
ETH,3,1075,1,75,Cereals and their products,"Maize, yellow, stiff porridge* (without salt)",2,2,4
ETH,3,1006,1,6,Cereals and their products,"Maize, yellow, whole kernel, dried, raw",4,6,8
ETH,3,1015,1,15,Cereals and their products,"Millet, whole grain, raw",2,9,11
ETH,3,1041,1,41,Cereals and their products,"Sorghum, whole grain, red, raw",4,5,7
ETH,3,9378,9,378,Fish and their products,"Carp, raw",1,12,2
ETH,3,9363,9,363,Fish and their products,"White grouper, raw",4,5,7
ETH,3,5245,5,245,Fruits and their products,"Apple, with skin, raw",2,7,9
ETH,3,5250,5,250,Fruits and their products,"Dates, dried",4,3,5
ETH,3,5252,5,252,Fruits and their products,"Fig, dried ",2,8,10
ETH,3,5253,5,253,Fruits and their products,"Fruit cocktail, canned in syrup",4,3,5
ETH,3,5254,5,254,Fruits and their products,"Grapefruit, pulp, raw",1,3,5
ETH,3,5229,5,229,Fruits and their products,"Guava, fruit, raw",2,8,10
ETH,3,5230,5,230,Fruits and their products,"Gumvine, raw",4,4,6
ETH,3,5256,5,256,Fruits and their products,"Mango, pale flesh, raw",3,5,7
ETH,3,5258,5,258,Fruits and their products,"Melon, cantaloup, raw",1,3,5
ETH,3,5257,5,257,Fruits and their products,"Melon, honeydew, raw",2,5,7
ETH,3,5235,5,235,Fruits and their products,"Orange, raw",1,3,5
ETH,3,5259,5,259,Fruits and their products,"Palm nuts, pulp, raw",2,7,9
ETH,3,5236,5,236,Fruits and their products,"Papaya, fruit, ripe, raw",2,2,4
ETH,3,5263,5,263,Fruits and their products,"Shea fruit pulp, raw",3,12,2
ETH,3,5239,5,239,Fruits and their products,"Tamarind, immature fruit, raw",1,2,4
ETH,3,3111,3,111,Legumes and their products,"Bambara groundnut, dried, raw ",4,8,10
ETH,3,3132,3,132,Legumes and their products,"Beans, white, dried",3,11,1
ETH,3,3115,3,115,Legumes and their products,"Cowpea, black, dried, raw",3,4,6
ETH,3,3116,3,116,Legumes and their products,"Cowpea, white, dried, raw",2,8,10
ETH,3,7309,7,309,Meat and poultry and their products,"Beef, kidney, raw",4,10,12
ETH,3,7334,7,334,Meat and poultry and their products,"Crocodile, raw",2,6,8
ETH,3,7346,7,346,Meat and poultry and their products,"Mopanie worm, canned",2,0,2
ETH,3,10419,10,419,Milk and their products,"Milk, cow, canned, condensed, sweetened",4,9,11
ETH,3,10407,10,407,Milk and their products,"Milk, goat, raw",4,7,9
ETH,3,12459,12,459,Miscellaneous,"Bay leaf, dried",2,6,8
ETH,3,12467,12,467,Miscellaneous,"Mustard, prepared, yellow",2,1,3
ETH,3,12456,12,456,Miscellaneous,Sugar,3,9,11
ETH,3,6270,6,270,"Nuts, seeds and their products",Coconut water,2,11,1
ETH,3,6278,6,278,"Nuts, seeds and their products","Colanut, raw",4,9,11
ETH,3,6275,6,275,"Nuts, seeds and their products","Melon seeds, slightly salted, raw",1,2,4
ETH,3,6277,6,277,"Nuts, seeds and their products","Shea nut, seed kernel, dried, raw",3,10,12
ETH,3,2095,2,95,"Starchy roots, tubers and their products","Cassava sweet, tuber, dried",2,1,3
ETH,3,4151,4,151,Vegetables and their products,"Baobab, leaves,  raw",1,1,3
ETH,3,4159,4,159,Vegetables and their products,"Cocoyam, leaves, raw",3,11,1
ETH,3,4165,4,165,Vegetables and their products,"Garlic, raw",3,8,10
ETH,3,4188,4,188,Vegetables and their products,"Jute (bush-okra) leaves, raw",3,4,6
ETH,3,4194,4,194,Vegetables and their products,"Onions, dried",3,1,3
ETH,3,4201,4,201,Vegetables and their products,"Pumpkin, squash, raw",3,7,9
RWA,3,11447,11,447,Beverages,"Juice, apple, canned or bottled",3,7,9
RWA,3,11449,11,449,Beverages,"Nectar, Mango, canned",1,6,8
RWA,3,11441,11,441,Beverages,Palm wine (est. 3.8 % alcohol),2,6,8
RWA,3,11442,11,442,Beverages,"Sap, palm, fresh (0.3 % alcohol)",1,6,8
RWA,3,11443,11,443,Beverages,"Tea, infusion",2,5,7
RWA,3,1059,1,59,Cereals and their products,"Maize, white, flour degermed ",4,5,7
RWA,3,1055,1,55,Cereals and their products,"Maize, yellow, grit, degermed",3,4,6
RWA,3,1075,1,75,Cereals and their products,"Maize, yellow, stiff porridge* (without salt)",4,1,3
RWA,3,1006,1,6,Cereals and their products,"Maize, yellow, whole kernel, dried, raw",2,9,11
RWA,3,1034,1,34,Cereals and their products,"Rice, brown, raw",2,10,12
RWA,3,1037,1,37,Cereals and their products,"Rice, white, raw",3,7,9
RWA,3,9386,9,386,Fish and their products,"Mudfish, raw",2,6,8
RWA,3,9394,9,394,Fish and their products,"Sardines in oil, canned (drained solids with bone)",3,3,5
RWA,3,9398,9,398,Fish and their products,"Tilapia, raw",2,1,3
RWA,3,5242,5,242,Fruits and their products,"African fan palm, fruit, pulp, raw",4,11,1
RWA,3,5245,5,245,Fruits and their products,"Apple, with skin, raw",2,4,6
RWA,3,5223,5,223,Fruits and their products,"Banana, white flesh, raw",1,12,2
RWA,3,5247,5,247,Fruits and their products,"Banana, yellow flesh, raw",4,10,12
RWA,3,5227,5,227,Fruits and their products,"Dattock, pulp, raw",3,10,12
RWA,3,5233,5,233,Fruits and their products,"Lemon, raw",4,8,10
RWA,3,5256,5,256,Fruits and their products,"Mango, pale flesh, raw",1,6,8
RWA,3,5257,5,257,Fruits and their products,"Melon, honeydew, raw",4,10,12
RWA,3,5260,5,260,Fruits and their products,"Pomegranate, raw",1,5,7
RWA,3,5263,5,263,Fruits and their products,"Shea fruit pulp, raw",4,6,8
RWA,3,3119,3,119,Legumes and their products,"African locust bean, seeds, dried",3,3,5
RWA,3,3111,3,111,Legumes and their products,"Bambara groundnut, dried, raw ",3,1,3
RWA,3,3114,3,114,Legumes and their products,"Cowpea, dried, raw",4,1,3
RWA,3,7313,7,313,Meat and poultry and their products,"Beef,  ground, 10 % fat, raw",1,9,11
RWA,3,7292,7,292,Meat and poultry and their products,"Beef, meat, 15-20  % fat, boneless, raw",1,1,3
RWA,3,7311,7,311,Meat and poultry and their products,"Beef, tripe, raw",1,8,10
RWA,3,7341,7,341,Meat and poultry and their products,"Lamb, brain, raw",4,2,4
RWA,3,7295,7,295,Meat and poultry and their products,"Pork, meat, approx. 40 % fat, boneless, raw",3,8,10
RWA,3,10410,10,410,Milk and their products,Cheddar,4,1,3
RWA,3,10414,10,414,Milk and their products,"Cream, 13 % fat",2,12,2
RWA,3,10416,10,416,Milk and their products,"Infant formula, powder, for 6 months",2,12,2
RWA,3,10421,10,421,Milk and their products,"Milk, cow powder, skimmed",3,6,8
RWA,3,10406,10,406,Milk and their products,"Milk, cow, powder, whole",4,5,7
RWA,3,10432,10,432,Milk and their products,"Palm oil, refined",4,7,9
RWA,3,12460,12,460,Miscellaneous,"Chilli pepper, dried",2,6,8
RWA,3,12461,12,461,Miscellaneous,"Cinnamon, ground",3,7,9
RWA,3,12464,12,464,Miscellaneous,"Ginger, root, raw",1,12,2
RWA,3,12465,12,465,Miscellaneous,"Ginger, roots, dried",2,11,1
RWA,3,12471,12,471,Miscellaneous,"Yeast, dried",2,7,9
RWA,3,6288,6,288,"Nuts, seeds and their products","Groundnut flour, defatted",1,7,9
RWA,3,6272,6,272,"Nuts, seeds and their products","Groundnut, shelled, dried, raw",3,1,3
RWA,3,6273,6,273,"Nuts, seeds and their products","Groundnut, rose, shelled, dried, raw (Benin)",1,5,7
RWA,3,6276,6,276,"Nuts, seeds and their products","Sesame seeds, whole, dried, raw",3,11,1
RWA,3,2095,2,95,"Starchy roots, tubers and their products","Cassava sweet, tuber, dried",3,1,3
RWA,3,2077,2,77,"Starchy roots, tubers and their products","Cassava, tuber, raw",4,9,11
RWA,3,2083,2,83,"Starchy roots, tubers and their products","Potato, raw",1,8,10
RWA,3,2085,2,85,"Starchy roots, tubers and their products","Sweet potato, deep yellow, raw",1,0,2
RWA,3,2096,2,96,"Starchy roots, tubers and their products","Sweet potato, pale yellow, raw",3,2,4
RWA,3,2093,2,93,"Starchy roots, tubers and their products","Yam tuber, raw",4,11,1
RWA,3,4151,4,151,Vegetables and their products,"Baobab, leaves,  raw",4,4,6
RWA,3,4164,4,164,Vegetables and their products,"False sesame, leaves, dried",2,10,12
RWA,3,4216,4,216,Vegetables and their products,"Tomato paste, concentrated",3,8,10
ETH,4,11436,11,436,Beverages,Beer european (4.4 % alcohol),1,11,1
